127.0.0.1 - - [06/Feb/2023:10:34:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:34:53 +0530] "GET /ContactBook/ HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:34:53 +0530] "GET /ContactBook/imgtry/LOGIN.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:34:53 +0530] "GET /ContactBook/imgtry/SIGnUP.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:34:53 +0530] "GET /ContactBook/imgtry/title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:34:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:34:58 +0530] "GET /ContactBook/login.jsp HTTP/1.1" 200 3560
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:07 +0530] "POST /ContactBook/UserServlet HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:39 +0530] "POST /ContactBook/UserServlet HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:39 +0530] "GET /ContactBook/imgtry/viewContact.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:39 +0530] "GET /ContactBook/imgtry/addCont.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:39 +0530] "GET /ContactBook/imgtry/welcome.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:39 +0530] "GET /ContactBook/imgtry/profile.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:39 +0530] "GET /ContactBook/imgtry/search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:39 +0530] "GET /ContactBook/imgtry/logout.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:41 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6053
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:41 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:57 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6053
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:57 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:58 +0530] "GET /ContactBook/UserServlet?action=editUser HTTP/1.1" 200 7586
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:35:58 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:36:05 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6053
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:36:05 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:36:06 +0530] "GET /ContactBook/UserServlet?action=editUser HTTP/1.1" 200 7586
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:36:06 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:36:10 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6046
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:36:10 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [06/Feb/2023:10:36:12 +0530] "GET /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 23
