127.0.0.1 - - [15/Feb/2023:13:56:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:56:52 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:56:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:57:51 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:00:30 +0530] "GET /Roverse/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:10:52 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:10:52 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 200 57057
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:11:08 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:11:08 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:12:42 +0530] "GET /Roverse/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:12:42 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:13:33 +0530] "GET /Roverse/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:13:33 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 200 45981
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:19:39 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:19:39 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 200 63111
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:20:42 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:20:42 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:21:12 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:21:12 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:45:07 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:45:30 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:45:30 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:46:28 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:46:43 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:46:45 +0530] "GET /Roverse/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:46:59 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2897
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:48:16 +0530] "GET /Roverse/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:48:18 +0530] "GET /Roverse/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:48:49 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2897
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:49:05 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:49:17 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:49:42 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:50:19 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:50:32 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:50:48 +0530] "GET /Roverse/nav.html HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:51:14 +0530] "GET /Roverse/nav.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:53:17 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:53:31 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:54:54 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:54:56 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:55:09 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [15/Feb/2023:15:55:12 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [15/Feb/2023:18:17:50 +0530] "GET /ContactBook/test.jsp HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [15/Feb/2023:18:18:16 +0530] "POST /ContactBook/test.jsp HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [15/Feb/2023:18:19:38 +0530] "POST /ContactBook/test.jsp HTTP/1.1" 200 2294
