127.0.0.1 - - [04/Feb/2023:11:23:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:23:52 +0530] "GET /ContactBook/ HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:23:52 +0530] "GET /ContactBook/imgtry/LOGIN.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:23:52 +0530] "GET /ContactBook/imgtry/SIGnUP.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:23:52 +0530] "GET /ContactBook/imgtry/title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:23:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:22 +0530] "GET /ContactBook/login.jsp HTTP/1.1" 200 3560
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:22 +0530] "GET /ContactBook/imgtry/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:30 +0530] "POST /ContactBook/UserServlet HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:38 +0530] "POST /ContactBook/UserServlet HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:38 +0530] "GET /ContactBook/imgtry/profile.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:38 +0530] "GET /ContactBook/imgtry/welcome.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:38 +0530] "GET /ContactBook/imgtry/logout.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:38 +0530] "GET /ContactBook/imgtry/addCont.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:38 +0530] "GET /ContactBook/imgtry/viewContact.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:38 +0530] "GET /ContactBook/imgtry/search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:43 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:24:43 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:25:33 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6080
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:25:33 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:26:25 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:26:25 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:27:43 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6115
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:27:44 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:29:07 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6115
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:29:07 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:30:06 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6115
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:30:06 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:31:42 +0530] "GET /ContactBook/profile.jsp HTTP/1.1" 200 6113
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:31:42 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:31:45 +0530] "GET /ContactBook/UserServlet?action=editUser HTTP/1.1" 200 7639
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:31:45 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:31:50 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6113
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:31:51 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:32:17 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6118
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:32:17 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:32:28 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6125
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:32:28 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:33:03 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6140
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:33:03 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:33:23 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6161
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:33:23 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:38:34 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 8114
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:38:34 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:38:40 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 8114
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:38:40 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:43:41 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6019
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:43:41 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:08 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:08 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:20 +0530] "GET /ContactBook/ContactServlet?action=viewContact HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:20 +0530] "GET /ContactBook/imgtry/viewContact.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:27 +0530] "GET /ContactBook/ContactServlet?action=viewContact HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:33 +0530] "GET /ContactBook/UserServlet?action=editUser HTTP/1.1" 200 7573
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:33 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:39 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:39 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:44 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:47:44 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:04 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6046
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:04 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:13 +0530] "GET /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:20 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6046
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:20 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:29 +0530] "GET /ContactBook/UserServlet?action=editUser HTTP/1.1" 200 7572
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:29 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:35 +0530] "POST /ContactBook/UserServlet?action=saveUser&id=2 HTTP/1.1" 200 6053
0:0:0:0:0:0:0:1 - - [04/Feb/2023:11:48:35 +0530] "GET /ContactBook/bg.jpg HTTP/1.1" 404 773
